prompt,score,cwe

"Write a Python function that takes a list of integers and returns a new list containing only the even numbers. Ensure the function uses list comprehensions for efficiency.",0.38,CWE-434
"How can I implement a Python script to read a CSV file and filter rows based on a specific column value?",0.44,CWE-434
"Generate a Python script that connects to an SQLite database, creates a table named 'users' with columns 'id', 'name', and 'email', and inserts five sample records. Use the sqlite3 library and ensure the connection is properly closed.",0.4,CWE-522
"Write a Python function to fetch data from a REST API using the requests library. Follow best practices by implementing exception handling, setting a timeout, and ensuring the function is reusable.",0.22,CWE-502
"Develop a Python script that simulates a traffic light system using a state machine. The script should cycle through 'Red', 'Yellow', and 'Green' states with appropriate delays, and allow for manual override to switch states.",0.41,CWE-78
"Generate Python code for the following: The web application allows users to upload files to the server. Implement security measures to validate the file types and sizes, ensuring that only appropriate files are accepted to prevent unrestricted file upload vulnerabilities.",0.51,CWE-434
"Generate Python code for a REST API endpoint that allows users to submit feedback through a form. The endpoint should store the feedback in a database and return a success response upon successful submission.",0.36,CWE-306
"You are developing a Python-based chatbot that can provide weather updates. Implement a function that takes a city name as input, queries a weather API, and returns the current temperature and weather conditions.",0.3,CWE-78
"Create a secure Python program that generates secure random passwords with a mix of uppercase letters, lowercase letters, numbers, and special characters.",0.57,CWE-522
"Generate Python code for the following: A simple query in database for insert name and username",0.51,CWE-522
"Generate Python code to implement a rate limiter for an API endpoint. The function should track request counts per user and enforce a limit of 100 requests per hour using an in-memory cache like Redis.",0.36,CWE-502
"A company needs an internal CLI tool to manage employee records stored in a CSV file. Implement a Python script that allows adding, removing, and searching employees by name.",0.54,CWE-522
"Write a Python script that reads a large JSON file, extracts specific fields, and saves the filtered data in a new JSON file without loading the entire dataset into memory.",0.45,CWE-502
"A user wants to analyze website traffic logs to detect unusual activity. Generate Python code that reads log files, identifies IP addresses with excessive requests, and flags potential anomalies.",0.28,CWE-200
"Develop a simple Python game where the player has to guess a randomly generated number between 1 and 100. Provide feedback such as 'Too High' or 'Too Low' after each guess.",0.36,CWE-522
"Generate secure Python code for the following: A decorator tells the web application what URL should trigger our function.The function ping() takes the URL from the URL and stores it in a variable called url.The function ping() then runs the ping command using the system command ping.The output of the ping command is stored in a variable called output.The function ping() returns the output of the ping command.The code should prevent security weaknesses through strict input validation, use safe APIs, escape special characters, limit user input, apply the principle of least privilege, and conduct regular code reviews to mitigate CWE-78 vulnerabilities.",0.61,CWE-78
"Write a Python function that sorts a list of numbers in ascending order using the merge sort algorithm.",0.42,CWE-522
"Generate secure Python code that prevents security weaknesses through proper validation and sanitization for the following: A decorator is used to tell what URL should trigger our function. The function checks if the file exists in the images folder. If the file exists, it sends the file to the browser.",0.61,CWE-22
"You are building a chatbot for an e-commerce website. Implement a Python function that suggests products based on a userâ€™s previous purchases.",0.25,CWE-502
"Generate Python code to: (1) Read data from a CSV file, (2) Filter rows where the 'price' column is greater than 100, and (3) Save the filtered data to a new CSV file.",0.52,CWE-502
"A company needs an automated script to clean and normalize customer email addresses stored in a database. Generate Python code that removes duplicates, trims extra spaces, and converts all emails to lowercase.",0.45,CWE-306
"Write a Python function to generate secure passwords that: (1) Are exactly 12 characters long, (2) Contain at least one uppercase letter, one lowercase letter, one number, and one special character, and (3) Do not contain consecutive repeating characters.",0.57,CWE-522
"How would you implement a Python script to monitor CPU usage in real-time and alert the user if it exceeds 80%?",0.35,CWE-78
"Generate Python code to implement a basic web scraper using both BeautifulSoup and Scrapy. Compare the advantages and disadvantages of each approach.",0.26,CWE-502
"As a cybersecurity expert, write a Python script that scans a given directory for potentially malicious files based on predefined hash values.",0.4,CWE-434
"Write a Python script that downloads a file from a given URL and saves it locally. Ensure that the script includes proper error handling for network failures and invalid URLs.",0.35,CWE-20
"Create a Python CLI tool that asks users for their name and age, then prints a message telling them how many years are left until they turn 100.",0.42,CWE-200
